TAG,TYPE,DESCRIPTION,P&ID,AREA,SYSTEM,SERVICE,PROCESS_FLUID,DESIGN_PRESSURE,DESIGN_TEMP,MATERIAL
300-PP-001,PUMP,Leach Feed Pump,PID-300-001,300,LEACHING,Slurry Transfer,Gold Slurry,150 PSI,65C,316SS
300-PP-002,PUMP,Thickener Underflow Pump,PID-300-002,300,LEACHING,Thickener,Thickened Slurry,100 PSI,45C,316SS
300-PP-003,PUMP,Carbon Transfer Pump,PID-300-003,300,LEACHING,CIP Circuit,Carbon Slurry,80 PSI,35C,316SS
300-TK-001,TANK,Leach Tank 1,PID-300-001,300,LEACHING,Primary Leach,Cyanide Solution,ATM,65C,316SS
300-TK-002,TANK,Leach Tank 2,PID-300-001,300,LEACHING,Secondary Leach,Cyanide Solution,ATM,65C,316SS
300-TK-003,TANK,Leach Tank 3,PID-300-002,300,LEACHING,Tertiary Leach,Cyanide Solution,ATM,65C,316SS
300-TK-004,TANK,Carbon Safety Screen Tank,PID-300-003,300,LEACHING,CIP Circuit,Carbon Slurry,ATM,35C,316SS
300-AG-001,AGITATOR,Leach Tank 1 Agitator,PID-300-001,300,LEACHING,Mixing,Gold Slurry,N/A,65C,316SS
300-AG-002,AGITATOR,Leach Tank 2 Agitator,PID-300-001,300,LEACHING,Mixing,Gold Slurry,N/A,65C,316SS
300-AG-003,AGITATOR,Leach Tank 3 Agitator,PID-300-002,300,LEACHING,Mixing,Gold Slurry,N/A,65C,316SS
300-TH-001,THICKENER,Tailings Thickener,PID-300-004,300,TAILINGS,Dewatering,Tailings Slurry,ATM,25C,CS
300-CV-001,CONVEYOR,Carbon Transfer Conveyor,PID-300-003,300,LEACHING,Carbon Handling,Carbon,N/A,AMB,CS
300-FT-001,FLOW_TRANSMITTER,Leach Feed Flow,PID-300-001,300,LEACHING,Flow Measurement,Gold Slurry,150 PSI,65C,316SS
300-FT-002,FLOW_TRANSMITTER,Thickener Feed Flow,PID-300-004,300,TAILINGS,Flow Measurement,Tailings,100 PSI,45C,316SS
300-LT-001,LEVEL_TRANSMITTER,Leach Tank 1 Level,PID-300-001,300,LEACHING,Level Measurement,Cyanide Solution,ATM,65C,316SS
300-LT-002,LEVEL_TRANSMITTER,Leach Tank 2 Level,PID-300-001,300,LEACHING,Level Measurement,Cyanide Solution,ATM,65C,316SS
300-LT-003,LEVEL_TRANSMITTER,Leach Tank 3 Level,PID-300-002,300,LEACHING,Level Measurement,Cyanide Solution,ATM,65C,316SS
300-PT-001,PRESSURE_TRANSMITTER,Leach Feed Pressure,PID-300-001,300,LEACHING,Pressure Measurement,Gold Slurry,150 PSI,65C,316SS
300-TT-001,TEMPERATURE_TRANSMITTER,Leach Tank 1 Temp,PID-300-001,300,LEACHING,Temperature,Cyanide Solution,ATM,65C,316SS
300-VLV-001,VALVE,Leach Feed Control Valve,PID-300-001,300,LEACHING,Flow Control,Gold Slurry,150 PSI,65C,316SS
